id,invoice_number,po_id,supplier_id,lender_id,amount,invoice_date,due_date,description,invoice_fingerprint,status,is_fraudulent,fraud_type
1,INV-202512-000001,1.0,16,5,1561713.09,2025-12-25,2026-01-24,Reduced directional conglomeration,6972081332eb783f11f7d428cf9c3858,approved,False,
2,INV-202503-000002,2.0,16,2,5855641.31,2025-03-18,2025-04-17,Realigned zero administration contingency,7273ee0c0f67f14ccf4f415e6e7d02a7,approved,False,
3,INV-202507-000003,3.0,34,4,2010395.94,2025-07-25,2025-08-24,Managed national definition,46271d1a81af30d63f1aac917fe4e534,paid,False,
4,INV-202509-000004,4.0,34,4,2955912.75,2025-09-29,2025-10-29,Monitored content-based synergy,b87e88f3e11f064fafc8a126443a5668,paid,False,
5,INV-202510-000005,5.0,34,5,1538893.06,2025-10-20,2025-11-19,Implemented local customer loyalty,50d5caa8da007bdfd979ad24bacfaa51,approved,False,
6,INV-202512-000006,6.0,34,2,1332446.22,2025-12-31,2026-01-30,Open-source transitional function,c9fdf1081da727e3ccbe408f292a9675,approved,False,
7,INV-202506-000007,7.0,28,8,3904712.13,2025-06-04,2025-07-04,Distributed impactful pricing structure,07df9f7deea30c4ceb2b0ec507262dae,approved,False,
8,INV-202603-000008,8.0,28,4,3534096.57,2026-03-01,2026-03-31,Mandatory zero administration hardware,0925b07fc177f77cc36626ebd0550fc3,approved,False,
9,INV-202506-000009,9.0,28,6,473186.34,2025-06-02,2025-07-02,Optional 4thgeneration intranet,3227b33ea05c76209b4fd3776612e656,approved,False,
10,INV-202512-000010,10.0,28,8,1555321.66,2025-12-02,2026-01-01,Decentralized mission-critical moratorium,0b3e8a34ca2a9fa1d8a07d87f22beea4,paid,False,
11,INV-202601-000011,12.0,28,5,2276467.94,2026-01-14,2026-02-13,Programmable neutral time-frame,b20df02efa5f7f52d913b6cdff41afe8,approved,False,
12,INV-202503-000012,13.0,28,2,1075495.72,2025-03-23,2025-04-22,Programmable intermediate customer loyalty,9e01d93f5c78ffab080e5b8188f9a045,approved,False,
13,INV-202506-000013,14.0,28,8,492121.24,2025-06-04,2025-07-04,Reverse-engineered multi-tasking strategy,0ed2b4b5432ef8419334aa87b17c8899,approved,False,
14,INV-202509-000014,15.0,31,1,5999412.67,2025-09-19,2025-10-19,Monitored optimal hub,48d127ec4f5371f8560d8d93f9e49be0,approved,False,
15,INV-202506-000015,16.0,31,7,4327509.55,2025-06-24,2025-07-24,Team-oriented homogeneous paradigm,bc6f5592da377dc144a4d5ed6cafc905,paid,False,
16,INV-202504-000016,17.0,31,6,2044210.77,2025-04-07,2025-05-07,Expanded multi-state website,f9bfd88931dd58e787868b782223856a,approved,False,
17,INV-202601-000017,19.0,31,5,2394755.06,2026-01-15,2026-02-14,Robust bifurcated archive,0ab7dcb4cd192cf725dd4ff2813f482b,paid,False,
18,INV-202601-000018,20.0,31,7,2853658.02,2026-01-28,2026-02-27,Implemented non-volatile intranet,19b6c09523299174944a33949388d7b9,approved,False,
19,INV-202602-000019,21.0,31,1,2574599.84,2026-02-22,2026-03-24,Re-engineered content-based hardware,1ac27410bab1ea8f90786f57efd3f791,approved,False,
20,INV-202509-000020,22.0,31,5,5613831.91,2025-09-05,2025-10-05,Ameliorated zero administration open architecture,dd6eb66b225172cf5b63ccf07f74ca6f,paid,False,
21,INV-202507-000021,23.0,31,5,3568499.4,2025-07-19,2025-08-18,Progressive intermediate success,213e59463aabc31efbf38a48e23764bc,approved,False,
22,INV-202510-000022,25.0,31,1,4882597.03,2025-10-31,2025-11-30,Organic full-range knowledge user,bb8803969ef8745dfff5e7c318d6cc27,approved,False,
23,INV-202512-000023,26.0,31,4,1750250.19,2025-12-10,2026-01-09,Intuitive actuating success,1c60778fed196517329e77af4a102d6e,paid,False,
24,INV-202601-000024,27.0,40,1,2620016.38,2026-01-23,2026-02-22,Open-architected neutral function,064be8081ddd6894e6dfd01c63331681,paid,False,
25,INV-202601-000025,28.0,40,5,3463637.14,2026-01-21,2026-02-20,Innovative bi-directional hardware,adb5caaa72c79295b0f3a9a04b5e82b1,paid,False,
26,INV-202508-000026,29.0,40,6,2213386.3,2025-08-22,2025-09-21,Multi-layered zero administration instruction set,ff619daf06ce47f25248a5b3ce42b95a,approved,False,
27,INV-202504-000027,30.0,40,1,4080149.86,2025-04-22,2025-05-22,Grass-roots real-time matrices,2fde82b2010308be7636c370a4718ae8,paid,False,
28,INV-202604-000028,31.0,40,6,4023188.2,2026-04-27,2026-05-27,Versatile clear-thinking framework,bf2a8a895a3291d1fba8a4007b94a387,paid,False,
29,INV-202603-000029,32.0,40,7,1035410.25,2026-03-17,2026-04-16,Proactive composite pricing structure,275812633f11cdf7a19b9955dccd6825,approved,False,
30,INV-202602-000030,33.0,40,6,902048.38,2026-02-12,2026-03-14,Balanced contextually-based productivity,eb346c35bd3395b3eef6b9e3ae8fe691,approved,False,
31,INV-202604-000031,34.0,40,5,801673.42,2026-04-05,2026-05-05,Pre-emptive regional project,35dc1e7e4fa30f1af4ff8f04ce06723a,approved,False,
32,INV-202505-000032,35.0,40,3,2239907.32,2025-05-23,2025-06-22,Universal reciprocal intranet,57efc112e68ee10612b3c879dd7efa0c,approved,False,
33,INV-202601-000033,36.0,40,4,2678248.21,2026-01-07,2026-02-06,Public-key analyzing strategy,58bc727d9c3a61b93283cf69323c2b2f,approved,False,
34,INV-202507-000034,37.0,40,8,3310567.26,2025-07-11,2025-08-10,Organized explicit focus group,c82a08e68ea11da11ce6091d7ef7910e,paid,False,
35,INV-202511-000035,38.0,40,4,3399936.07,2025-11-14,2025-12-14,Switchable context-sensitive extranet,6984f7007b51f59662a74f1270914efb,approved,False,
36,INV-202602-000036,42.0,25,6,3902649.95,2026-02-15,2026-03-17,Vision-oriented 5thgeneration algorithm,1b4da9e5a8cd7dfa7596cc99a7bcf634,paid,False,
37,INV-202505-000037,43.0,25,6,1720739.46,2025-05-17,2025-06-16,Profit-focused tertiary superstructure,034323aad4df00978ec85916a3d5b06b,approved,False,
38,INV-202508-000038,44.0,25,2,2703106.77,2025-08-09,2025-09-08,Persevering modular project,dc325e9c1b17afb460ff98b966f6a391,approved,False,
39,INV-202512-000039,45.0,25,7,3902615.23,2025-12-07,2026-01-06,Versatile transitional methodology,3a40b702a86b66c6ef67754ac85a11dd,approved,False,
40,INV-202506-000040,46.0,25,3,2965850.62,2025-06-05,2025-07-05,Programmable national concept,17efcd13adfb75eab96736fafd0ec0f1,approved,False,
41,INV-202506-000041,47.0,25,6,3851864.83,2025-06-07,2025-07-07,Self-enabling multi-tasking system engine,1948f11a99fb8fbd8f3e1584843c69f2,approved,False,
42,INV-202602-000042,48.0,25,5,2273235.37,2026-02-26,2026-03-28,Inverse human-resource superstructure,047a847fb14e5038aacf365090da2342,paid,False,
43,INV-202601-000043,49.0,38,5,1556133.34,2026-01-19,2026-02-18,Ameliorated tangible application,bf82336e24458bc5d212923be702da39,approved,False,
44,INV-202509-000044,51.0,38,6,2985069.03,2025-09-22,2025-10-22,Advanced asymmetric knowledgebase,ce02d990a5975f37674fa51f23717430,paid,False,
45,INV-202510-000045,52.0,38,6,1079435.06,2025-10-19,2025-11-18,Enhanced background hardware,3cd3efbd641124ca7a33cb0bbe986a70,approved,False,
46,INV-202505-000046,53.0,38,3,2412436.13,2025-05-12,2025-06-11,Assimilated multimedia algorithm,e54be207616b0ae71823d9a5c3f65006,approved,False,
47,INV-202511-000047,54.0,38,2,2898248.1,2025-11-30,2025-12-30,Universal systematic emulation,fc04702c938c24163624a8027037e75e,approved,False,
48,INV-202507-000048,55.0,38,7,2243838.08,2025-07-13,2025-08-12,Decentralized cohesive core,e4a92b91a473b6e31810fb61da5edba2,paid,False,
49,INV-202506-000049,56.0,38,1,2092923.35,2025-06-23,2025-07-23,Public-key uniform help-desk,32e1757ef1baa32f23cf1e6c4b4253cc,paid,False,
50,INV-202506-000050,57.0,38,8,1463378.61,2025-06-16,2025-07-16,Re-engineered maximized hardware,f3e42f57b70e1df3f92197a981630a33,approved,False,
51,INV-202603-000051,58.0,24,5,3195580.94,2026-03-06,2026-04-05,Compatible explicit neural-net,4431a6d5d6b9fe0443ba79bd63a3c27e,approved,False,
52,INV-202512-000052,59.0,24,6,1698077.34,2025-12-16,2026-01-15,Optimized local service-desk,853b8eb1df455e0f04a06db2d8855597,approved,False,
53,INV-202511-000053,60.0,24,2,3429453.74,2025-11-20,2025-12-20,Horizontal cohesive data-warehouse,259428bbfdb3c49100056329d8bc9601,approved,False,
54,INV-202504-000054,61.0,24,2,2139151.24,2025-04-23,2025-05-23,Implemented context-sensitive challenge,de1b9372ccccbcfdb6114817b3aa7c96,approved,False,
55,INV-202601-000055,62.0,24,6,2902831.14,2026-01-04,2026-02-03,Versatile mobile middleware,265343fd62e6048d259d74c7191d8bcf,paid,False,
56,INV-202508-000056,63.0,24,7,842543.29,2025-08-13,2025-09-12,Multi-channeled regional info-mediaries,b15d124d92638233c214a667ebcb415d,approved,False,
57,INV-202507-000057,64.0,18,3,3346934.48,2025-07-20,2025-08-19,Reactive foreground matrix,e4a1ee1f82a5c1503719e86a1b069e53,paid,False,
58,INV-202512-000058,65.0,18,3,8716109.17,2025-12-05,2026-01-04,Up-sized methodical process improvement,82ca06dfc843655bfab20624e946628b,paid,False,
59,INV-202512-000059,66.0,18,6,4979236.56,2025-12-24,2026-01-23,Configurable analyzing projection,214ec27665878522e65272e66aa383a7,approved,False,
60,INV-202508-000060,67.0,18,3,2330955.72,2025-08-02,2025-09-01,Balanced 24/7 instruction set,296d8867fabe46fa07e28c8d80c341d2,paid,False,
61,INV-202512-000061,68.0,18,4,4195788.3,2025-12-29,2026-01-28,Upgradable well-modulated alliance,d346d5f86cedda7a21e4fed545ac7099,approved,False,
62,INV-202508-000062,69.0,18,2,1935224.67,2025-08-22,2025-09-21,Right-sized mission-critical Graphic Interface,cd3c3b1bdf04e6c7978e0579894b0abb,approved,False,
63,INV-202506-000063,70.0,18,8,3608292.09,2025-06-03,2025-07-03,Vision-oriented logistical initiative,eb8fe7c927d0b4b22a3a64031349d8b5,approved,False,
64,INV-202503-000064,71.0,18,7,2844960.85,2025-03-29,2025-04-28,Realigned exuding ability,d0c7490b570132ba7b2032d6be2906b8,approved,False,
65,INV-202508-000065,72.0,18,7,3004574.87,2025-08-27,2025-09-26,Future-proofed asymmetric hierarchy,2de528ef3c361d2b896a6e919fecae4d,approved,False,
66,INV-202510-000066,73.0,31,4,738198.52,2025-10-29,2025-11-28,Stand-alone mobile toolset,b60898b3bd72c97843dc227024d44ec4,approved,False,
67,INV-202512-000067,74.0,31,6,2344431.71,2025-12-11,2026-01-10,Decentralized analyzing utilization,be9f985ac6982383a4e6940cf81ac951,paid,False,
68,INV-202506-000068,75.0,16,1,1182715.44,2025-06-13,2025-07-13,Automated stable methodology,91ce29d48736002c1492ab110cf715bf,approved,False,
69,INV-202511-000069,76.0,16,8,1029650.68,2025-11-25,2025-12-25,Optimized dedicated hierarchy,bb0faf0488b1189278fe99f4c89b1f97,approved,False,
70,INV-202512-000070,77.0,16,7,664614.27,2025-12-23,2026-01-22,Public-key bottom-line customer loyalty,3ddcf3ca1e33dbbecd6fe729117e7806,approved,False,
71,INV-202509-000071,78.0,16,3,374007.68,2025-09-18,2025-10-18,Virtual optimizing system engine,75a9794348eba6f485181c3e53b6f572,paid,False,
72,INV-202505-000072,81.0,33,6,1361138.62,2025-05-24,2025-06-23,Customer-focused global implementation,45acf4b6dda3c36f1b2fd88e1bc2992c,paid,False,
73,INV-202602-000073,82.0,17,5,2251371.2,2026-02-04,2026-03-06,Persevering actuating solution,b01016121af6f213ad54e69239d682ec,approved,False,
